Graph,Component,Freq,Layer,Metric,Time,Power,Freq_Host
alex,G,0,2,out,,,1.0
alex,G,0,2,trans,,,1.0
alex,G,0,3,in,,,1.0
alex,G,0,3,task,29.7542,3601.0590350877187,1.0
alex,G,0,3,out,,,1.0
alex,G,0,3,trans,,,1.0
alex,G,0,4,in,,,1.0
alex,G,0,4,task,22.3557,3536.482976190477,1.0
alex,G,0,4,out,,,1.0
alex,G,0,4,trans,,,1.0
alex,G,0,5,in,,,1.0
alex,G,0,5,task,56.1449,4075.569431878379,1.0
alex,G,0,5,out,,,1.0
alex,G,0,5,trans,,,1.0
alex,G,0,6,in,,,1.0
alex,G,0,6,task,24.486,4014.4070179738565,1.0
alex,G,0,6,out,,,1.0
alex,G,0,6,trans,,,1.0
alex,G,0,7,in,,,1.0
alex,G,0,7,task,17.0658,3437.1121212121216,1.0
alex,G,0,7,out,1.0904,,1.0
alex,G,0,7,trans,,,1.0
alex,G,0,0,in,27.1058,3475.384521927346,2.0
alex,G,0,0,task,42.4507,3848.048809523809,2.0
alex,G,0,0,out,,,2.0
alex,G,0,0,trans,0.0,,2.0
alex,G,0,1,in,,,2.0
alex,G,0,1,task,79.6791,3773.9047027519277,2.0
alex,G,0,1,out,,,2.0
alex,G,0,1,trans,,,2.0
alex,G,0,2,in,,,2.0
alex,G,0,2,task,34.4917,3763.906126482213,2.0
alex,G,0,2,out,,,2.0
alex,G,0,2,trans,,,2.0
alex,G,0,3,in,,,2.0
alex,G,0,3,task,29.6117,3603.0447368421055,2.0
alex,G,0,3,out,,,2.0
alex,G,0,3,trans,,,2.0
alex,G,0,4,in,,,2.0
alex,G,0,4,task,22.1435,3540.5485714285724,2.0
alex,G,0,4,out,,,2.0
alex,G,0,4,trans,,,2.0
alex,G,0,5,in,,,2.0
alex,G,0,5,task,56.0474,4100.370857210595,2.0
alex,G,0,5,out,,,2.0
alex,G,0,5,trans,,,2.0
alex,G,0,6,in,,,2.0
alex,G,0,6,task,24.2911,4023.7569852941174,2.0
alex,G,0,6,out,,,2.0
alex,G,0,6,trans,,,2.0
alex,G,0,7,in,,,2.0
alex,G,0,7,task,16.8871,3432.9001515151526,2.0
alex,G,0,7,out,0.8349,,2.0
alex,G,0,7,trans,,,2.0
alex,G,0,0,in,22.0549,3569.0102263766516,3.0
alex,G,0,0,task,42.3626,3858.2675925925914,3.0
alex,G,0,0,out,,,3.0
alex,G,0,0,trans,0.0,,3.0
alex,G,0,1,in,,,3.0
alex,G,0,1,task,79.5868,3791.621358035232,3.0
alex,G,0,1,out,,,3.0
alex,G,0,1,trans,,,3.0
alex,G,0,2,in,,,3.0
alex,G,0,2,task,34.4254,3767.823320158103,3.0
alex,G,0,2,out,,,3.0
alex,G,0,2,trans,,,3.0
alex,G,0,3,in,,,3.0
alex,G,0,3,task,29.3785,3625.49543859649,3.0
alex,G,0,3,out,,,3.0
alex,G,0,3,trans,,,3.0
alex,G,0,4,in,,,3.0
alex,G,0,4,task,21.9957,3572.8871428571433,3.0
alex,G,0,4,out,,,3.0
alex,G,0,4,trans,,,3.0
alex,G,0,5,in,,,3.0
alex,G,0,5,task,55.9458,4106.54237022737,3.0
alex,G,0,5,out,,,3.0
alex,G,0,5,trans,,,3.0
alex,G,0,6,in,,,3.0
alex,G,0,6,task,24.1956,4046.8836764705884,3.0
alex,G,0,6,out,,,3.0
alex,G,0,6,trans,,,3.0
alex,G,0,7,in,,,3.0
alex,G,0,7,task,16.7836,3458.192424242424,3.0
alex,G,0,7,out,0.7025,,3.0
alex,G,0,7,trans,,,3.0
alex,G,0,0,in,18.5181,3722.114544924031,4.0
alex,G,0,0,task,42.3689,3892.9358465608475,4.0
alex,G,0,0,out,,,4.0
alex,G,0,0,trans,0.0,,4.0
alex,G,0,1,in,,,4.0
alex,G,0,1,task,79.535,3823.4658819260653,4.0
alex,G,0,1,out,,,4.0
alex,G,0,1,trans,,,4.0
alex,G,0,2,in,,,4.0
alex,G,0,2,task,34.3834,3790.449802371542,4.0
alex,G,0,2,out,,,4.0
alex,G,0,2,trans,,,4.0
alex,G,0,3,in,,,4.0
alex,G,0,3,task,29.3316,3654.6542105263156,4.0
alex,G,0,3,out,,,4.0
alex,G,0,3,trans,,,4.0
alex,G,0,4,in,,,4.0
alex,G,0,4,task,21.8847,3606.789047619048,4.0
alex,G,0,4,out,,,4.0
alex,G,0,4,trans,,,4.0
alex,G,0,5,in,,,4.0
alex,G,0,5,task,55.737,4127.901080968184,4.0
alex,G,0,5,out,,,4.0
alex,G,0,5,trans,,,4.0
alex,G,0,6,in,,,4.0
alex,G,0,6,task,24.2411,4070.7521813725484,4.0
alex,G,0,6,out,,,4.0
alex,G,0,6,trans,,,4.0
alex,G,0,7,in,,,4.0
alex,G,0,7,task,16.7245,3486.77590909091,4.0
alex,G,0,7,out,0.6538,,4.0
alex,G,0,7,trans,,,4.0
alex,G,0,0,in,15.8281,3900.8538965201456,5.0
alex,G,0,0,task,42.254,3946.696729611385,5.0
alex,G,0,0,out,,,5.0
alex,G,0,0,trans,0.0,,5.0
alex,G,0,1,in,,,5.0
alex,G,0,1,task,79.4751,3852.0957874441515,5.0
alex,G,0,1,out,,,5.0
alex,G,0,1,trans,,,5.0
alex,G,0,2,in,,,5.0
