Graph,Component,Freq,Freq_Host,Layer,Metric,Time,Power,Time_sum,Time_Percentage
squeeze,G,2,4,3,task,24.2642,4183.842500000001,176.7477,13.728156009950906
squeeze,G,2,4,4,task,7.1945,4056.66,176.7477,4.070491440624121
squeeze,G,2,4,5,task,10.8332,4204.399404761904,176.7477,6.129188668367395
squeeze,G,2,4,6,task,11.6888,4214.369642857143,176.7477,6.613268517779863
squeeze,G,2,4,7,task,16.5956,4267.603787878788,176.7477,9.389429112797508
squeeze,G,2,4,8,task,7.8685,3889.6933333333336,176.7477,4.45182596435484
squeeze,G,2,4,9,task,24.8225,4442.39669117647,176.7477,14.04402999303527
squeeze,G,2,5,0,in,15.7707,4323.942676767676,173.5622,9.086483116715506
squeeze,G,2,5,0,task,33.5661,4715.106568793525,173.5622,19.339522084877927
squeeze,G,2,5,1,task,10.472,4165.78630952381,173.5622,6.03357182612343
squeeze,G,2,5,2,task,10.6079,4182.873214285715,173.5622,6.111872285555266
squeeze,G,2,5,3,task,24.294,4227.940882352941,173.5622,13.997287427792457
squeeze,G,2,5,4,task,7.1784,4102.261666666667,173.5622,4.135923605485527
squeeze,G,2,5,5,task,10.7616,4255.808928571428,173.5622,6.200428434301939
squeeze,G,2,5,6,task,11.6233,4278.246428571429,173.5622,6.696907506357952
squeeze,G,2,5,7,task,16.6002,4328.607575757575,173.5622,9.564409762033439
squeeze,G,2,5,8,task,7.8861,3931.6883333333335,173.5622,4.543673680098547
squeeze,G,2,5,9,task,24.8019,4486.331985294118,173.5622,14.289920270658014
squeeze,G,2,6,0,in,13.9116,4660.549722222222,171.2482,8.123647431038691
squeeze,G,2,6,0,task,33.5117,4787.117344249953,171.2482,19.569081602025598
squeeze,G,2,6,1,task,10.424,4221.119047619045,171.2482,6.087071280165281
squeeze,G,2,6,2,task,10.5879,4258.441071428572,171.2482,6.1827803153551395
squeeze,G,2,6,3,task,24.2112,4284.261666666666,171.2482,14.138075611889644
squeeze,G,2,6,4,task,7.1219,4204.67,171.2482,4.15881743574531
squeeze,G,2,6,5,task,10.7572,4319.8,171.2482,6.281642668360893
squeeze,G,2,6,6,task,11.589,4335.130357142856,171.2482,6.767370401557506
squeeze,G,2,6,7,task,16.5692,4385.240909090909,171.2482,9.675546954654122
squeeze,G,2,6,8,task,7.8534,4000.2599999999993,171.2482,4.585975210250385
squeeze,G,2,6,9,task,24.7111,4557.684926470591,171.2482,14.429991088957431
squeeze,G,2,7,0,in,12.4386,5141.660515873015,169.3442,7.345158558722412
squeeze,G,2,7,0,task,33.471,4920.02747035573,169.3442,19.765070194314298
squeeze,G,2,7,1,task,10.4429,4363.911904761907,169.3442,6.166671193935192
squeeze,G,2,7,2,task,10.5645,4400.538690476191,169.3442,6.238477609507736
